PROTEIN;TOTAL_FAT;CARBS;ENERGY;FIBER;SATURATED_FAT;SUGARS;NUTRI_SCORE;CLASSIFICATION
3.03;0;18.18;91;6.1;0;12.12;4.83375;FALSE
3.03;0;18.18;91;6.1;0;12.12;4.83375;FALSE
0.81;0;4.88;24;1.6;0;2.44;5.0695;FALSE
1.64;0;4.92;25;1.6;0;3.28;5.06775;FALSE
0.83;0;4.17;21;0.8;0;2.5;4.90425;FALSE
0.83;0;4.13;21;1.7;0;2.48;5.08725;FALSE
1.64;0;4.92;25;1.6;0;3.28;5.06775;FALSE
0.83;0;4.13;21;0.8;0;2.48;4.90725;FALSE
0.83;0;4.13;21;0.8;0;2.48;4.90725;FALSE
0.83;0;4.13;21;0.8;0;2.48;4.90725;FALSE
0.83;0;4.13;21;0.8;0;2.48;4.90725;FALSE
1.56;1.17;8.59;47;1.6;0;5.47;4.60475;FALSE
0;0;33.33;167;0;0;33.33;0;FALSE
10;0;76.67;367;3.3;0;0;7.06825;TRUE
10.71;21.43;64.29;464;10.7;1.79;0;6.04;TRUE
13.33;0;70;333;13.3;0;0;9.57625;TRUE
5.38;0;16.15;85;7.7;0;0.77;7.21025;TRUE
5.38;1.54;16.15;92;4.6;0;0.77;6.4345;TRUE
0;0;15.08;63;0.8;0;11.9;3.35925;FALSE
5.38;0;16.15;85;7.7;0;0.77;7.21025;TRUE
0.8;0.8;10.4;48;1.6;0;2.4;4.988;FALSE
5.38;0;16.15;85;6.2;0;1.54;6.79475;TRUE
11.2;4;4.8;104;0;2.8;2.4;5.194;FALSE
0;0;3.33;17;0;0;0;4.99575;FALSE
8.77;8.77;77.19;421;7;0.88;26.32;2.56525;FALSE
4.62;1.54;15.38;92;4.6;0;3.08;5.974;FALSE
7.14;16.07;71.43;464;7.1;4.46;25;0.903;FALSE
0;1.67;44.44;194;5.6;;27.78;1.7375;FALSE
18.75;50;25;594;9.4;9.38;12.5;0.324;FALSE
0;1.67;38.89;167;5.6;;27.78;1.74425;FALSE
5.38;0.5;16.15;85;3.8;0.15;0.77;6.34275;TRUE
18.75;59.38;15.62;688;9.4;9.38;3.12;0.7695;FALSE
21.43;57.14;17.86;607;10.7;3.57;3.57;3.06075;FALSE
5.38;1.15;16.92;100;7.7;0;1.54;6.976;TRUE
5.38;1.92;16.92;108;6.9;0;0.77;6.8525;TRUE
0;0;25.84;101;1.1;0;20.22;2.16175;FALSE
0;0;30.34;112;1.1;0;25.84;1.316;FALSE
2.4;1.6;6.4;48;0;0.4;0;5.088;FALSE
19.64;4.46;0;125;0;0;0;7.46875;TRUE
5.8;1.81;15.94;101;3.6;0.72;0.72;6.09575;TRUE
1.6;1.6;8.8;56;0;0.4;0;4.966;FALSE
0.8;4.8;8;80;0;0.8;0.8;4.3;FALSE
4.62;1.92;14.62;92;3.8;0.77;0.77;5.93;FALSE
17.07;14.63;60.98;390;7.3;1.22;7.32;6.057;TRUE
14.63;14.63;60.98;390;12.2;4.88;12.2;5.024;FALSE
7.14;8.93;71.43;393;3.6;5.36;7.14;3.38875;FALSE
12.86;2.86;71.43;357;2.9;0.71;4.29;6.31275;TRUE
8.77;3.51;77.19;368;3.5;0;0;6.5725;TRUE
11.5;11.5;43.36;319;1.8;7.08;6.19;3.15675;FALSE
12.86;2.86;71.43;357;2.9;0.71;4.29;6.31275;TRUE
11.22;10.2;46.94;327;2;6.12;6.12;3.53325;FALSE
14.63;9.76;65.85;390;12.2;0;12.2;6.731;TRUE
14.63;6.1;68.29;390;12.2;1.22;9.76;7.158;TRUE
5.41;16.22;62.16;405;5.4;10.81;18.92;0;FALSE
37.74;5.66;43.4;377;9.4;2.83;11.32;9.47525;TRUE
4.62;0;12.31;77;3.8;0;0.77;6.31825;TRUE
8.47;4.24;72.88;373;1.7;1.69;11.86;3.89175;FALSE
5.38;0.77;15.38;85;3.8;0;0.77;6.35325;TRUE
4.62;0;13.85;77;3.8;0;0.77;6.31825;TRUE
37.74;5.66;45.28;377;9.4;1.89;11.32;9.71025;TRUE
5.38;0;14.62;77;3.8;0;0.77;6.43225;TRUE
5.38;0;15.38;85;3.8;0;0.77;6.43025;TRUE
6.15;0;15.38;85;6.2;0;0.77;7.02575;TRUE
6.67;23.33;66.67;500;3.3;10;30;0;FALSE
3.23;16.13;70.97;452;3.2;8.06;32.26;0;FALSE
6.45;22.58;6.45;258;0;14.52;6.45;0;FALSE
0;0;20;100;0;0;0;4.975;FALSE
0;0;20;100;0;0;0;4.975;FALSE
9.09;1.14;72.73;341;2.3;0;6.82;5.60125;FALSE
10;2;3;70;0;1.25;3;5.52;FALSE
35.71;8.93;21.43;321;0;3.57;21.43;5.27625;FALSE
35.71;5.36;21.43;286;0;0;21.43;6.5345;TRUE
6.67;11.67;76.67;433;3.3;0;10;3.88525;FALSE
35.71;10.71;7.14;286;0;5.36;7.14;6.803;TRUE
32.14;10.71;14.29;286;0;0;7.14;7.6075;TRUE
32.14;3.57;25;286;0;0;25;5.6425;FALSE
10.34;34.48;51.72;552;0;17.24;48.28;0;FALSE
13.33;21.67;6.67;267;1.7;7.5;0;3.23075;FALSE
4.69;8.92;8.92;136;2.3;3.76;0.94;4.1565;FALSE
7.69;25;69.23;519;3.8;8.65;42.31;0;FALSE
3.33;16.67;6.67;200;0;11.67;3.33;0.3655;FALSE
0;78.57;0;714;0;50;0;0;FALSE
0;78.57;0;714;0;50;0;0;FALSE
5.36;0.89;51.79;232;3.6;0;28.57;2.0915;FALSE
7.41;1.85;77.78;370;3.7;0;14.81;4.3525;FALSE
0;0;14.29;56;1.6;;11.9;3.521;FALSE
0;0;11.2;48;0.8;;10.4;3.588;FALSE
0.88;0;14.98;62;0.9;0;11.89;3.513;FALSE
11.83;17.75;11.83;237;0;0;5.92;4.05225;FALSE
0;0;21.88;94;0;0;21.88;1.6945;FALSE
2.78;1.39;41.67;194;2.8;0;36.11;0.373;FALSE
3.57;25;57.14;464;3.6;3.57;3.57;2.2115;FALSE
0;0;0;0;0;0;0;5;FALSE
10;20;63.33;467;6.7;5;23.33;0.97375;FALSE
32.14;25;3.57;357;3.6;14.29;3.57;3.84375;FALSE
21.43;35.71;3.57;429;0;21.43;0;0;FALSE
0;71.43;0;643;0;10.71;0;0;FALSE
1.11;0;15.56;67;1.1;0;7.78;4.20275;FALSE
10;22.5;65;450;1.2;3;10;2.1275;FALSE
0;0;43.24;189;0;0;37.84;0;FALSE
0;0;0;0;0;0;0;5;FALSE
4.62;0;15.38;85;3.8;0;0.77;6.31625;TRUE
0;35.48;16.13;387;0;6.45;12.9;0;FALSE
0;36.36;30.3;424;0;6.06;27.27;0;FALSE
3.33;46.67;6.67;467;0;8.33;3.33;0;FALSE
0;25.81;12.9;290;0;4.84;12.9;0;FALSE
0;46.67;6.67;433;0;6.67;6.67;0;FALSE
0;40.62;18.75;438;0;6.25;15.62;0;FALSE
0;40;6.67;367;0;6.67;3.33;0;FALSE
3.33;46.67;6.67;467;0;8.33;3.33;0;FALSE
3.23;41.94;6.45;419;0;8.06;6.45;0;FALSE
0;33.33;27.27;424;0;6.06;24.24;0;FALSE
0;20;23.33;267;0;3.33;16.67;0;FALSE
8.77;14.04;71.93;439;7;1.75;24.56;2.08025;FALSE
14.08;1.06;1.41;70;0;0;0;6.9885;TRUE
4.17;6.25;79.17;375;4.2;2.08;29.17;0.85125;FALSE
0.91;9.09;17.27;155;1.8;1.36;15.45;1.89125;FALSE
3.45;15.17;18.62;221;1.4;2.41;5.52;2.79475;FALSE
0.88;0;13.27;53;0.9;0;12.39;3.44025;FALSE
0.82;0;13.11;57;0.8;;12.3;3.42375;FALSE
0.82;0;13.93;57;0.8;;13.11;3.30225;FALSE
0.88;0;14.16;62;0.9;0;12.39;3.438;FALSE
0;1.63;16.26;81;0.8;1.22;12.2;2.84175;FALSE
0;0;19.53;78;0.8;0;16.41;2.679;FALSE
0.82;0;14.75;66;0.8;0;13.11;3.3;FALSE
0.82;0;12.3;57;0.8;;11.48;3.54675;FALSE
13.33;6.67;80;400;6.7;0;0;7.5725;TRUE
2.14;14.29;78.57;429;2.1;2.86;1.43;3.27525;FALSE
23.21;1.79;0;107;0;0;0;8.27575;TRUE
13.33;26.67;6.67;300;3.3;10;3.33;1.918;FALSE
0;0;19.69;79;0.8;0;16.54;2.65925;FALSE
0;0;16.67;67;10;0;6.67;5.98275;FALSE
0;0;3.33;33;3.3;;;5.65175;FALSE
0;93.33;0;867;0;13.33;0;0;FALSE
1.18;0;3.53;18;2.4;0;1.18;5.4755;FALSE
25;50;21.88;594;9.4;7.81;6.25;2.5915;FALSE
21.88;50;21.88;594;6.2;10.94;6.25;0.701;FALSE
0;0;40;200;0;0;40;0;FALSE
0;0;45;200;0;0;45;0;FALSE
21.88;50;21.88;594;6.2;10.94;6.25;0.701;FALSE
1.6;2.4;7.2;56;1.6;0;4;4.706;FALSE
1.6;0.8;8;48;1.6;0;4.8;4.748;FALSE
1.6;4;7.2;72;1.6;0.8;4.8;4.222;FALSE
1.6;3.6;7.2;64;1.6;0.4;4;4.484;FALSE
1.6;8;7.2;104;1.6;3.2;4;3.334;FALSE
1.6;3.6;8;72;1.6;0.4;4.8;4.362;FALSE
14.29;28.57;57.14;500;0;0;0;4.1615;FALSE
14.29;28.57;57.14;500;0;0;0;4.1615;FALSE
14.29;21.43;57.14;500;0;0;0;4.8755;FALSE
16.67;0;66.67;333;4.2;0;16.67;5.75675;FALSE
8.11;13.51;68.92;426;2;7.43;14.19;1.173;FALSE
4;0;74;320;0;0;54;0;FALSE
8;2.67;76;360;4;0;4;6.043;TRUE
6.67;10;80;400;10;0;6.67;5.9;FALSE
4.23;2.82;7.51;75;0.5;1.41;0.94;4.94025;FALSE
1.59;0.79;7.94;48;1.6;0;4.76;4.7535;FALSE
0.51;0;12.63;51;1;0;11.62;3.52075;FALSE
1.68;2.1;13.45;76;1.7;1.26;10.92;3.41;FALSE
0;0;12.12;51;1.5;0;9.6;3.84725;FALSE
8.33;2.08;77.08;375;2.1;;2.08;6.05575;TRUE
1.64;8.2;6.56;98;0;1.64;1.64;3.7455;FALSE
0.83;0;4.17;21;0.8;0;2.5;4.90425;FALSE
0.83;0;4.13;21;0.8;0;2.48;4.90725;FALSE
12.5;2.68;71.43;321;10.7;0;3.57;8.13125;TRUE
0;0;66.67;333;0;0;0;4.91675;FALSE
1.59;7.94;15.87;143;1.6;5.56;7.94;2.14775;FALSE
0;0;20;0;0;0;0;5;FALSE
0;0;50;167;0;0;50;0;FALSE
5.36;0;78.57;339;1.8;0;1.79;5.81075;FALSE
15.66;1.81;57.83;313;13.3;0;1.2;9.56975;TRUE
13.33;6.67;62.22;356;6.7;0.89;0;7.361;TRUE
3.85;9.23;12.31;146;3.1;1.92;0.77;4.6425;FALSE
0.82;0;12.3;49;0.8;0;9.02;3.91775;FALSE
0;0;3.33;17;3.3;;;5.65575;FALSE
0;2.5;5;42;0;0;1.67;4.489;FALSE
0;0;3.33;33;3.3;;;5.65175;FALSE
3.33;3.33;6.67;67;0;0;6.67;4.14925;FALSE
0;0;16.67;67;10;;6.67;5.98275;FALSE
0;0;0;0;0;0;0;5;FALSE
3.28;6.56;12.3;123;4.1;1.23;0.82;5.19475;FALSE
0;2.5;5;42;0;0;1.67;4.489;FALSE
1.61;12.9;3.23;129;0;4.03;1.61;2.67025;FALSE
1.64;11.48;3.28;131;0;3.28;1.64;2.99925;FALSE
1.6;1.6;9.6;56;2.4;0;6.4;4.586;FALSE
1.67;0;8.33;42;1.7;0;5;4.83;FALSE
0;0;33.33;167;0;0;33.33;0;FALSE
0;0;19.53;78;1.6;0;16.41;2.839;FALSE
2.88;9.62;71.15;385;1;4.81;39.42;0;FALSE
2.88;8.65;71.15;375;1;4.33;38.46;0;FALSE
5;42.5;50;525;12.5;25;35;0;FALSE
4.13;6.61;10.74;116;4.1;1.24;0;5.4395;FALSE
0;0;14.04;61;0.9;0;12.28;3.32275;FALSE
0;0;12.1;48;1.6;0;8.87;3.9775;FALSE
0;0;13.93;57;0.8;0;12.3;3.30075;FALSE
6.9;8.62;72.41;379;3.4;6.9;6.9;2.99825;FALSE
7.14;8.93;71.43;393;3.6;7.14;7.14;2.94375;FALSE
10.34;6.9;68.97;379;3.4;3.45;6.9;4.54875;FALSE
11.76;1.47;76.47;382;2.9;0;5.88;6.2195;TRUE
0;73.33;6.67;733;0;13.33;0;0;FALSE
7.14;8.93;71.43;393;3.6;5.36;7.14;3.38875;FALSE
0;21.43;71.43;500;0;7.14;0;0.947;FALSE
12.5;1.79;73.21;375;3.6;0;0;7.32225;TRUE
12.5;1.79;73.21;375;3.6;0;0;7.32225;TRUE
0;0;7.5;25;1.2;0;2.5;4.85875;FALSE
0;0;5;25;0.6;0;2.5;4.73875;FALSE
6.92;1.15;18.46;108;4.6;0;0.77;6.7005;TRUE
0;0;6.45;32;0;0;3.23;4.5075;FALSE
18.97;7.76;1.72;155;0;2.59;1.72;6.12525;TRUE
45.83;10.42;33.33;333;12.5;4.17;0;10;TRUE
23.33;16.67;3.33;267;0;5;0;5.51575;FALSE
16.67;33.33;3.33;400;0;11.67;0;1.15;FALSE
17.86;25;0;321;0;10.71;1.79;2.15275;FALSE
30;22.5;42.5;400;12.5;10;0;7.15;TRUE
0;31.25;18.75;375;0;4.69;18.75;0;FALSE
21.43;50;21.43;571;7.1;3.57;3.57;3.06375;FALSE
12.2;2.44;36.59;220;2.4;0;0;7.011;TRUE
3.03;9.09;50;288;6.1;0.76;0;5.5035;FALSE
0;29.03;16.13;323;0;4.84;12.9;0;FALSE
3.23;19.35;6.45;194;0;4.84;3.23;1.8065;FALSE
5.88;17.65;35.29;353;5.9;0;23.53;1.67925;FALSE
5;0;50;225;5;0;30;2.19375;FALSE
0;0;75;375;0;0;0;4.90625;FALSE
0;26.67;6.67;267;0;1.67;6.67;0.84825;FALSE
8.89;6.67;48.89;289;6.7;2.22;4.44;5.71325;FALSE
7.14;5.71;52.86;300;2.9;2.14;2.86;5.041;FALSE
3.33;56.67;3.33;533;0;10;3.33;0;FALSE
0;43.33;23.33;467;0;6.67;23.33;0;FALSE
9.38;6.25;53.12;281;0;1.56;3.12;4.85375;FALSE
3.23;22.58;6.45;226;0;4.84;3.23;1.4755;FALSE
0;67.86;3.57;607;0;10.71;3.57;0;FALSE
19.64;1.79;1.79;107;0;0;0;7.74025;TRUE
3.23;16.13;6.45;194;0;3.23;6.45;2.048;FALSE
6.67;40;53.33;533;6.7;23.33;40;0;FALSE
0;0;5.71;29;2.9;0;2.86;5.14375;FALSE
0;0;5.71;29;2.9;0;2.86;5.14375;FALSE
0;0;43.24;189;0;0;40.54;0;FALSE
1.56;0;26.56;109;1.6;0;21.88;2.24475;FALSE
6.67;33.33;60;467;6.7;20;46.67;0;FALSE
13.33;5.56;68.89;356;6.7;0;22.22;4.3615;FALSE
2.4;1.6;6.4;48;0;0.4;0;5.088;FALSE
1.6;0;16;72;0.8;0;9.6;3.942;FALSE
2.86;0;8.57;29;0;0;2.86;4.99275;FALSE
1.6;6.4;8;96;0;1.6;0.8;4.056;FALSE
1.67;0;6.67;33;0;0;3.33;4.74275;FALSE
5.88;23.53;17.65;294;5.9;8.82;5.88;1.5485;FALSE
0;0;0;0;0;0;0;5;FALSE
10.71;1.79;69.64;339;3.6;0.36;1.79;6.70425;TRUE
1.63;2.85;7.32;57;1.6;0.41;4.07;4.55225;FALSE
16.07;8.04;69.64;411;1.8;2.68;1.79;5.92525;FALSE
1.6;1.2;9.6;56;1.6;0;5.6;4.586;FALSE
16.07;8.04;69.64;411;1.8;2.68;1.79;5.92525;FALSE
1.61;5.65;9.68;89;1.6;1.61;4.84;3.84575;FALSE
6.67;0;80;356;2.2;0;0;6.3515;TRUE
11.11;3.33;71.11;356;2.2;1.11;11.11;4.7405;FALSE
4.17;12.5;43.75;292;4.2;0;2.08;4.8305;FALSE
9.09;0;63.64;273;0;0;0;6.29525;TRUE
7.06;7.06;21.57;176;1.2;3.92;1.96;4.275;FALSE
8.24;11.37;14.12;192;2;5.49;1.18;3.9015;FALSE
6.19;8.85;37.17;257;2.7;1.33;5.31;4.39025;FALSE
4.46;3.72;25.28;152;1.1;0.56;8.55;4.0565;FALSE
0;0;77.78;333;0;0;44.44;0;FALSE
0;0;3.33;33;3.3;;;5.65175;FALSE
0;0;3.33;17;3.3;;;5.65575;FALSE
0;0;3.33;33;3.3;;;5.65175;FALSE
0;0;3.33;17;3.3;;;5.65575;FALSE
0;0;3.33;33;3.3;;;5.65175;FALSE
12.73;2.73;70.91;364;10.9;0;1.82;8.4525;TRUE
5.38;0;15.38;85;4.6;0.15;0.77;6.55275;TRUE
6.15;0;13.08;77;6.9;0;1.54;7.05225;TRUE
6.15;0;16.92;92;5.4;0;0.77;6.864;TRUE
6.67;0;80;378;2.2;0;0;6.346;TRUE
0;0;28.57;129;2.9;0;22.86;2.11875;FALSE
0.79;0;4.76;24;0.8;0;2.38;4.9155;FALSE
3.23;19.35;3.23;226;0;4.84;3.23;1.7985;FALSE
6.25;25;46.88;594;3.1;4.69;46.88;0;FALSE
0;0;14.29;57;0.7;0;12.14;3.30475;FALSE
0;0;14.29;57;0.7;;12.14;3.30475;FALSE
0;0;14.29;57;0.7;;12.14;3.30475;FALSE
0;0;20.71;86;0.7;0;20;2.1185;FALSE
3.12;9.38;9.38;125;0;1.56;0;4.10875;FALSE
3.12;0;12.5;62;3.1;0;3.12;5.6045;FALSE
14.29;21.43;57.14;500;0;0;0;4.8755;FALSE
0;28.57;57.14;500;0;0;0;2.018;FALSE
14.29;16.07;60.71;464;7.1;1.79;3.57;5.8575;FALSE
5.38;0;15.38;85;6.2;0;0.77;6.91025;TRUE
4.62;1.54;15.38;92;4.6;0;3.08;5.974;FALSE
5.38;0.5;16.15;85;3.8;0.15;0.77;6.34275;TRUE
5.38;0.77;16.15;92;5.4;0;1.54;6.556;TRUE
5.38;0;15.38;85;3.8;0;0.77;6.43025;TRUE
20;5.88;0;141;0;1.18;0;7.08175;TRUE
11.76;0;5.88;59;0;0;0;6.74925;TRUE
20;4.12;0;118;0;1.18;0;7.2635;TRUE
11.11;0;5.56;56;0;0;5.56;5.8185;FALSE
11.5;2.65;4.42;88;0;1.77;3.54;5.4645;FALSE
0;0;33.33;250;0;0;33.33;0;FALSE
23.21;0;0;107;0;0;0;8.45475;TRUE
14.89;23.4;0;277;0;8.51;0;2.69675;FALSE
0;0;20;100;0;0;13.33;2.9755;FALSE
11.5;2.65;4.42;88;0;1.77;3.54;5.4645;FALSE
3.33;16.67;6.67;200;0;10;3.33;0.783;FALSE
9.73;1.77;10.62;97;0;0.88;9.73;4.57875;FALSE
0;0;21.43;100;1.4;0;18.57;2.4695;FALSE
0;0;11.11;43;0.9;0;9.4;3.75925;FALSE
0;0;12.78;53;0.9;0;11.45;3.44925;FALSE
0;0;10.68;43;1.3;0;8.55;3.96675;FALSE
0;0;18.24;71;1.2;0;14.71;3.01575;FALSE
0;0;9.29;36;1.4;0;7.86;4.092;FALSE
12;2;60;320;4;0;8;6.12;TRUE
9.3;4.65;74.42;372;7;0;27.91;3.0505;FALSE
11.76;5.88;70.59;353;8.8;0;11.76;6.08375;TRUE
8.57;4.29;77.14;371;5.7;1.43;37.14;0.97525;FALSE
0;0;15.62;62;0.8;0;14.06;3.0355;FALSE
0;0;20.35;80;1.8;0;16.81;2.8185;FALSE
0.67;0;13.33;60;0;0;12.67;3.185;FALSE
0;0;9.38;39;0.8;0;8.59;3.86175;FALSE
0.88;0;15.04;62;0.9;0;12.39;3.438;FALSE
0;0;15.04;62;0;0;14.16;2.8605;FALSE
0;0;12.78;53;0.9;0;11.45;3.44925;FALSE
0;0;13.27;53;0.9;0;10.62;3.57375;FALSE
7.14;32.14;7.14;357;0;21.43;3.57;0;FALSE
0;77.78;0;778;0;44.44;0;0;FALSE
6.67;30;3.33;300;1.7;8.33;0;1.183;FALSE
25;17.86;3.57;286;0;10.71;0;4.215;FALSE
2.7;0;37.84;162;0;0;35.14;0.0935;FALSE
2.78;0;33.33;139;2.8;0;27.78;1.77525;FALSE
0;0;40;171;0;0;37.14;0;FALSE
2.7;0;37.84;162;0;0;35.14;0.0935;FALSE
0;0;44.74;184;0;0;39.47;0;FALSE
10;20;13.33;267;0;8.33;10;0.85075;FALSE
10;20;13.33;267;0;8.33;10;0.85075;FALSE
10;20;13.33;267;0;8.33;10;0.85075;FALSE
0;0;12.67;53;0.7;;11.33;3.42725;FALSE
0;0;12.1;48;1.6;;8.87;3.9775;FALSE
0.81;0;11.29;48;0.8;;8.87;3.939;FALSE
0;0;15.33;60;0.7;;14;3.025;FALSE
0;0;12.9;48;0.8;;9.68;3.696;FALSE
0;0;17.78;67;1.1;;16.67;2.70275;FALSE
0.88;0;14.16;53;0.9;0;12.39;3.44025;FALSE
0;0;12.78;53;0.9;0;11.45;3.44925;FALSE
0;0;16.81;71;1.8;0;13.27;3.35175;FALSE
0;0;19.53;78;1.6;;16.41;2.839;FALSE
0;0;14.84;62;0.8;0;14.06;3.0355;FALSE
0.78;0;19.53;78;0.8;;14.06;3.1485;FALSE
0;0;20.31;78;0.8;;14.06;3.0315;FALSE
0;0;12.67;53;0.7;;11.33;3.42725;FALSE
0.67;0;13.33;60;0;;12.67;3.185;FALSE
0;0;7.96;35;0.9;0;6.19;4.24275;FALSE
0;0;19.23;77;1.5;;13.08;3.31875;FALSE
0.81;0;11.29;48;0.8;;8.87;3.939;FALSE
0;0;12.1;48;0.8;0;10.48;3.576;FALSE
0.81;0;11.29;48;0.8;;8.87;3.939;FALSE
0;0;15.33;60;0.7;;14;3.025;FALSE
0.78;0;19.53;78;0.8;;14.06;3.1485;FALSE
0.78;0;21.88;94;0.8;;15.62;2.9105;FALSE
0;0;20.31;78;0.8;;14.06;3.0315;FALSE
0;0;12.67;53;0.7;;11.33;3.42725;FALSE
0;0;18.25;71;1.6;0;15.08;3.04025;FALSE
0.78;0;19.53;78;0.8;;14.06;3.1485;FALSE
0;0;19.23;77;1.5;;13.08;3.31875;FALSE
0;0;12.67;53;0.7;;11.33;3.42725;FALSE
0.81;0;11.29;48;0.8;;8.87;3.939;FALSE
0;0;12.9;48;0.8;;9.68;3.696;FALSE
0;0;8.26;33;1.7;0;5.79;4.46325;FALSE
5.38;0;14.62;77;6.2;0;0.77;6.91225;TRUE
4.62;1.15;14.62;85;6.2;0;0.77;6.68125;TRUE
0;0;6.67;33;3.3;0;6.67;4.65125;FALSE
5.38;0.77;16.15;92;6.9;0;0.77;6.9715;TRUE
5.38;0.38;15.38;85;5.4;0;0.77;6.71225;TRUE
4.62;0;13.85;77;6.2;0;0.77;6.79825;TRUE
5.38;0;15.38;85;6.9;0;0.77;7.05025;TRUE
0;0;6.67;33;3.3;0;6.67;4.65125;FALSE
5.38;0;14.62;77;4.6;0;0.77;6.59225;TRUE
0;0;6.67;33;0.8;0;5;4.40175;FALSE
5.6;1.2;17.6;104;5.6;0;4;6.214;TRUE
5.38;0;15.38;85;6.2;0;0.77;6.91025;TRUE
0;0;35.71;157;1.4;0;31.43;0.52625;FALSE
0;22.5;20;300;0;20;0;0;FALSE
1.67;0;6.67;33;0;0;3.33;4.74275;FALSE
4.62;0;14.62;77;3.8;0;0;6.43375;TRUE
3.85;0;10;54;4.6;0;0;6.484;TRUE
4.62;0.77;22.31;115;4.6;0;8.46;5.23825;FALSE
14.29;50;14.29;571;14.3;;;4.86075;FALSE
0;42.86;42.86;571;0;0;0;0.57125;FALSE
60;40;0;600;0;20;0;4.85;FALSE
14.29;14.29;57.14;429;0;0;0;5.60725;FALSE
14.29;14.29;57.14;429;0;0;0;5.60725;FALSE
0;42.86;42.86;571;0;0;0;0.57125;FALSE
0;42.86;42.86;571;0;0;0;0.57125;FALSE
0;28.57;57.14;500;0;0;0;2.018;FALSE
0;28.57;57.14;500;0;0;0;2.018;FALSE
14.29;28.57;57.14;500;0;14.29;0;0.589;FALSE
0;28.57;57.14;500;0;0;0;2.018;FALSE
0.82;1.22;8.98;49;1.6;0.61;2.45;4.78875;FALSE
5.38;0.77;15.38;85;3.8;0;0.77;6.35325;TRUE
8.57;7.14;74.29;400;2.9;5.71;68.57;0;FALSE
6.67;0;77.78;333;0;0;0;5.91725;FALSE
5.56;17.36;20.14;264;0;9.03;18.06;0;FALSE
3.55;14.18;26.24;241;0;7.09;21.99;0;FALSE
4.38;17.52;26.28;277;0;8.76;21.17;0;FALSE
4.26;16.31;26.95;262;0.7;10.64;23.4;0;FALSE
0;0;16.67;83;0;0;16.67;2.47875;FALSE
0;0;28.12;109;1.6;0;23.44;1.77675;FALSE
10;0;73.33;333;3.3;0;3.33;6.57725;TRUE
0;0;0;0;0;0;0;5;FALSE
11.29;1.61;74.19;355;3.2;0;1.61;6.84225;TRUE
8.93;1.79;76.79;357;1.8;0;1.79;6.16275;TRUE
0;0;0;0;0;0;0;5;FALSE
8.93;1.79;75;357;1.8;0;1.79;6.16275;TRUE
0;0;20;100;0;0;20;1.975;FALSE
11.43;2.14;74.29;357;2.9;0;4.29;6.34775;TRUE
8.93;1.79;75;357;1.8;0;1.79;6.16275;TRUE
2.86;0;31.43;129;2.9;0;28.57;1.69125;FALSE
0;0;0;0;0;0;0;5;FALSE
0;0;3.33;17;3.3;;;5.65575;FALSE
4.17;6.25;79.17;375;4.2;2.08;29.17;0.85125;FALSE
0;25;50;500;0;25;0;0;FALSE
0;50;40;600;0;30;0;0;FALSE
0;20.83;75;500;0;12.5;58.33;0;FALSE
0;25;50;500;0;25;0;0;FALSE
0;0;8.26;33;0.8;0;4.13;4.53225;FALSE
27.19;5.26;13.16;202;0.9;0.88;6.14;7.541;TRUE
27.19;3.07;10.53;175;0.9;0.44;3.51;8.27125;TRUE
0;0;13.71;56;0.8;0;12.9;3.211;FALSE
0.79;0;13.49;56;0.8;0;11.9;3.4795;FALSE
0.8;6.4;3.2;72;0;0.8;2.4;3.902;FALSE
0.79;0;11.9;48;0.8;0;9.52;3.8385;FALSE
26.92;4.81;11.54;192;3.8;0;3.85;8.6915;TRUE
0.51;0;12.63;51;1;0;11.11;3.59725;FALSE
0.8;2;7.2;48;2.4;0;2.4;5.028;FALSE
21.43;14.29;10.71;250;3.6;0;0;7.443;TRUE
11.11;0;55.56;278;0;0;11.11;4.9305;FALSE
0;0;55.56;278;11.1;0;11.11;5.484;FALSE
2.7;10.81;67.57;378;2.7;5.41;5.41;2.6055;FALSE
0;22.22;55.56;444;0;0;11.11;1.0005;FALSE
5.71;0;74.29;343;2.9;0;5.71;5.49425;FALSE
11.11;0;55.56;278;0;0;11.11;4.9305;FALSE
5.56;52.78;41.67;639;0;38.89;30.56;0;FALSE
0;0;0;0;0;0;0;5;FALSE
25;25;3.57;321;0;16.07;0;2.15225;FALSE
16.07;32.14;1.79;357;0;12.5;0;0.98225;FALSE
5.88;0;70.59;294;5.9;0;5.88;6.1065;TRUE
6.67;0;80;367;0;0;0;5.90875;FALSE
5.56;2.78;72.22;333;5.6;0;0;6.59275;TRUE
0;2.5;6.67;42;0;0;1.67;4.489;FALSE
25;35.71;3.57;393;0;21.43;0;0;FALSE
1.01;0;1.52;13;1;0;0;5.34825;FALSE
0;1.67;16.67;83;0;0;10;3.31225;FALSE
0;0;2.86;29;2.9;;;5.57275;FALSE
25;32.14;0;357;0;21.43;0;0.08925;FALSE
5.56;52.78;41.67;639;0;38.89;36.11;0;FALSE
7.14;5.36;67.86;321;7.1;0;3.57;6.33925;TRUE
21.43;25;3.57;321;0;16.07;0;1.61675;FALSE
10;0;8.67;73;0;0;6.67;5.48125;FALSE
10;0;9.33;80;0;0;7.33;5.3805;FALSE
10;0;8;73;0;0;6;5.58175;FALSE
8.77;1.75;10.53;88;0;0.88;8.77;4.583;FALSE
