PROTEIN;TOTAL_FAT;CARBS;ENERGY;FIBER;SATURATED_FAT;SUGARS;NUTRI_SCORE;CLASSIFICATION
14.29;15.18;0;143;0;6.25;1.79;3.75875;FALSE
2.92;3.75;5.83;71;2.5;0.83;0.42;5.27475;FALSE
2.92;0.62;7.08;46;1.2;0.42;0.83;5.375;FALSE
13.11;13.11;9.02;205;0;3.28;0.82;4.66125;FALSE
16.47;10.59;5.88;176;0;2.94;0;5.6325;FALSE
16.47;11.76;4.71;188;0;2.94;0;5.5125;FALSE
16.44;9.59;5.48;178;0;2.74;0;5.7775;FALSE
16.22;14.86;5.41;216;0;3.38;0;5.048;FALSE
14;13;13;220;0;3;1;4.845;FALSE
21.92;16.44;5.48;260;0;4.11;0;5.5515;FALSE
12.28;15.79;14.04;254;0.9;3.95;0.88;4.26;FALSE
14.61;14.61;5.62;213;0;3.37;0;4.83475;FALSE
16.47;10.59;5.88;176;0;2.94;0;5.6325;FALSE
13.6;13.6;8.8;208;0;3.2;0.8;4.708;FALSE
14.14;13.13;13.13;222;0;3.03;1.01;4.8435;FALSE
13.28;13.28;14.84;234;1.6;3.12;0.78;5.0285;FALSE
13.33;8.67;17.33;200;0;1.67;1.33;5.4655;FALSE
16.47;10.59;5.88;176;0;2.94;0;5.6325;FALSE
11;7;22;200;4;1.5;3;5.875;FALSE
9.6;13.6;8.8;208;0;3.2;0.8;4.108;FALSE
10.59;88.24;11.76;141;0;1.18;1.18;0;FALSE
14.89;12.77;12.77;234;2.1;3.19;1.06;5.3615;FALSE
21;2;0;100;0;0.5;0;7.8;TRUE
11.76;9.8;21.57;225;4.9;1.47;2.94;5.89925;FALSE
16.47;11.76;4.71;188;0;2.94;0;5.5125;FALSE
20.35;2.21;0;106;0;0.44;;7.695;TRUE
13;13;9;210;0;3;1;4.6975;FALSE
13.21;13.21;8.81;208;0;3.14;0.63;4.729;FALSE
14.29;14.29;5.71;214;0;3.57;0;4.7685;FALSE
14.68;13.76;12.84;229;1.8;2.75;0.92;5.30325;FALSE
22;1.5;1;100;0;0;0;8.125;TRUE
19;2;0;100;0;0;0;7.625;TRUE
16.44;10.96;4.11;192;0;3.42;0;5.467;FALSE
15.29;14.12;0;188;0;3.53;0;4.952;FALSE
19.78;10.99;1.1;176;0;2.2;2.2;5.944;FALSE
20;2;5;120;0;0.5;1;7.495;TRUE
12.94;12.94;8.24;212;0;2.94;1.18;4.682;FALSE
17;14;2;200;0;3.5;0;5.225;FALSE
14.14;13.13;13.13;222;0;3.03;1.01;4.8435;FALSE
15.07;12.33;10.96;219;1.4;2.74;1.37;5.36225;FALSE
14.13;14.13;14.13;250;2.2;3.26;0;5.269;FALSE
20;0.88;0;82;0;0.29;0;7.819;TRUE
11.34;9.28;21.65;216;0;1.55;8.25;4.094;FALSE
16.47;11.76;4.71;188;0;2.94;0;5.5125;FALSE
14.61;13.48;13.48;236;2.2;2.81;1.12;5.354;FALSE
15;10;13;210;1;2;0;5.8975;FALSE
17.65;10.59;3.53;188;0;3.53;0;5.659;FALSE
11.54;15.38;69.23;462;3.8;3.85;3.85;4.2975;FALSE
7.14;28.57;67.86;571;0;16.07;35.71;0;FALSE
3.57;17.86;67.86;429;3.6;17.86;60.71;0;FALSE
0;0;7.08;29;0;0;6.67;3.99225;FALSE
2.5;0;65;250;7.5;0;37.5;1.1875;FALSE
38.1;47.62;0;571;0;16.67;0;1.64275;FALSE
2.5;0;77.5;300;5;0;65;0;FALSE
38.1;47.62;0;571;0;16.67;0;1.64275;FALSE
3.33;20;70;433;3.3;16.67;60;0;FALSE
2.5;0;77.5;300;5;0;72.5;0;FALSE
14.29;15.18;1.79;205;0;5.36;;4.23425;FALSE
6.67;20;66.67;433;3.3;16.67;53.33;0;FALSE
2.63;0;78.95;316;5.3;0;63.16;0;FALSE
0;0;4.64;19;0;0;4.22;4.36225;FALSE
2.5;0;80;300;5;0;72.5;0;FALSE
3.7;25.93;59.26;444;3.7;11.11;33.33;0;FALSE
2.5;0;55;250;7.5;0;35;1.5625;FALSE
